,Route,Year,Ridership
209,BM5,2020,77171.0
210,BxM1,2020,189691.0
211,BxM2,2020,95001.0
212,BxM3,2020,95604.0
213,BxM4,2020,69895.0
214,BxM6,2020,103938.0
215,BxM7,2020,385185.0
216,BxM8,2020,214420.0
217,BxM9,2020,255118.0
218,BxM10,2020,227876.0
219,BxM11,2020,182411.0
220,QM2 / QM32,2020,152291.0
221,QM4 / QM44,2020,78729.0
222,QM5 / QM35,2020,194755.0
223,QM6 / QM36,2020,104911.0
224,QM15,2020,170423.0
225,Express Total,2020,3564456.0
226,,2020,
227,,2020,
228,,2020,
229,,2020,
230,Adjustment,2020,151218.8575
231,Grand Total,2020,65655990.33559999
232,,2020,
233,,2020,
234,,2020,
235,,2020,
236,"* MTA Bus Routes that were changed between 2018 and 2023; see ""Notes"" for details.",2020,
237,B100,2021,787477.316
238,B103,2021,2423658.7048
239,Bx23,2021,547203.3084
240,Q6,2021,1949948.895
241,Q7,2021,822355.1119
242,Q8,2021,2138608.8774
243,Q9,2021,811232.0748
244,Q10,2021,3912150.2306
245,Q11,2021,689802.8544
246,Q18,2021,1683733.7598
247,Q19,2021,696099.9191
248,Q21,2021,449395.7605
249,Q22,2021,1262391.6512
250,Q23,2021,3306263.3514
251,Q25,2021,3496852.2526
252,Q29,2021,1054880.2069
253,Q33,2021,1361326.0753
254,Q35,2021,757118.6838
255,Q37,2021,1338246.2073
256,Q38,2021,1403570.6585
257,Q39,2021,823643.3278
258,Q40,2021,813175.7062
259,Q41,2021,1196568.9879
260,Q47,2021,1434460.5932
261,Q49,2021,1568622.0812
262,Q50,2021,957887.6296
263,Q52/53Lcl/SBS,2021,4137015.1648
264,Q60,2021,3013331.9809
265,Q64,2021,1259145.218
266,Q65,2021,4081063.2658
267,Q66,2021,2926950.3863
268,Q67,2021,408473.2301
269,Q69,2021,1660037.7867
270,Q70SBS,2021,748251.9243
271,Q72,2021,1348549.2898
272,Q100,2021,617232.9989
273,Q101,2021,664708.0956
274,Q102,2021,476718.5325
275,Q103,2021,251179.0891
276,Q104,2021,436342.2768
277,Q110,2021,1037595.1729
278,Q111,2021,2270014.8607
279,Q112,2021,970262.3648
280,Q113,2021,696837.5937
281,Q114,2021,1278526.9082
282,Local Total,2021,66811466.954600014
283,Express Routes,2021,
284,BM1,2021,134049.0
285,BM2,2021,123448.0
286,BM3,2021,104587.0
287,BM4,2021,66306.0
288,BM5,2021,89210.0
289,BxM1,2021,237164.0
290,BxM2,2021,123494.0
291,BxM3,2021,122062.0
292,BxM4,2021,84591.0
293,BxM6,2021,133720.0
294,BxM7,2021,447992.0
295,BxM8,2021,274494.0
296,BxM9,2021,301241.0
297,BxM10,2021,269882.0
298,BxM11,2021,207356.0
299,QM2 / QM32,2021,162306.0
300,QM4 / QM44,2021,89937.0
301,QM5 / QM35,2021,233093.0
302,QM6 / QM36,2021,122323.0
303,QM15,2021,212054.0
304,Express Total,2021,4216511.0
305,,2021,
306,,2021,
307,,2021,
308,,2021,
309,Adjustment,2021,403488.094
310,Grand Total,2021,71431466.0486
311,,2021,
312,,2021,
313,,2021,
314,,2021,
315,"* MTA Bus Routes that were changed between 2018 and 2023; see ""Notes"" for details.",2021,
316,B100,2022,938619.8031
317,B103,2022,2496943.8445
318,Bx23,2022,764974.1547
319,Q6,2022,2236956.8129
320,Q7,2022,912464.6357
321,Q8,2022,2380063.7385
322,Q9,2022,890067.0264
323,Q10,2022,4577813.8352
324,Q11,2022,844197.8616
325,Q18,2022,1895319.3607
326,Q19,2022,831993.739
327,Q21,2022,551383.4873
328,Q22,2022,1164529.5985
329,Q23,2022,3768019.3372
330,Q25,2022,4485899.4044
331,Q29,2022,1254937.9135
332,Q33,2022,1547122.6505
333,Q35,2022,821639.0602
334,Q37,2022,1633178.4611
335,Q38,2022,1638141.6611
336,Q39,2022,1041378.8964
337,Q40,2022,955765.9087
338,Q41,2022,1427342.0951
339,Q47,2022,1779068.3491
340,Q49,2022,1863279.9995
341,Q50,2022,907350.5734
342,Q52/53Lcl/SBS,2022,4377597.1672
343,Q60,2022,3439751.8
344,Q64,2022,1591210.4625
345,Q65,2022,4697259.014
346,Q66,2022,3327305.0574
347,Q67,2022,482893.0419
348,Q69,2022,2041201.7102
349,Q70SBS,2022,346474.4617
350,Q72,2022,1544847.7143
351,Q100,2022,758631.474
352,Q101,2022,711857.2365
353,Q102,2022,522303.8628
354,Q103,2022,312620.7591
355,Q104,2022,509319.4386
356,Q110,2022,1212557.9225
357,Q111,2022,2436718.6804
358,Q112,2022,1024764.4662
359,Q113,2022,740128.218
360,Q114,2022,1316195.5903
361,Local Total,2022,76134719.89949998
362,Express Routes,2022,
363,BM1,2022,210777.0
364,BM2,2022,184920.0
365,BM3,2022,158687.0
366,BM4,2022,106641.0
367,BM5,2022,138292.0
368,BxM1,2022,304857.0
369,BxM2,2022,160605.0
370,BxM3,2022,170797.0
371,BxM4,2022,107692.0
372,BxM6,2022,165873.0
373,BxM7,2022,570403.0
374,BxM8,2022,361868.0
375,BxM9,2022,392535.0
376,BxM10,2022,359772.0
377,BxM11,2022,276997.0
378,QM2 / QM32,2022,240158.0
379,QM4 / QM44,2022,126492.0
380,QM5 / QM35,2022,340892.0
381,QM6 / QM36,2022,178659.0
382,QM15,2022,312937.0
383,Express Total,2022,5965627.0
384,,2022,
385,,2022,
386,,2022,
387,,2022,
388,Adjustment,2022,509038.9193
389,Grand Total,2022,82609385.81879999
390,,2022,
391,,2022,
392,,2022,
393,,2022,
394,"* MTA Bus Routes that were changed between 2018 and 2023; see ""Notes"" for details.",2022,
395,B100,2023,990139.4582
396,B103,2023,2330243.7743
397,Bx23,2023,841682.4925
398,Q6,2023,2097682.3498
399,Q7,2023,871282.6102
400,Q8,2023,2314451.1946
401,Q9,2023,914076.6572
402,Q10,2023,4602560.5836
403,Q11,2023,872945.4093
404,Q18,2023,2132313.2828
405,Q19,2023,934038.5538
406,Q21,2023,599983.3857
407,Q22,2023,1070804.6688
408,Q23,2023,3944576.1054
409,Q25,2023,4768472.4656
410,Q29,2023,1357897.1695
411,Q33,2023,1729694.0946
412,Q35,2023,813815.4702
413,Q37,2023,1615963.0177
414,Q38,2023,1743206.4788
415,Q39,2023,1140122.8087
416,Q40,2023,934122.3211
417,Q41,2023,1416789.7295
418,Q47,2023,1994587.7015
419,Q49,2023,2081627.2831
420,Q50,2023,837290.2838
421,Q52/53Lcl/SBS,2023,4186151.2062
422,Q60,2023,3541798.5324
423,Q64,2023,1725119.7037
424,Q65,2023,4954300.8783
425,Q66,2023,3706781.5265
426,Q67,2023,532539.9986
427,Q69,2023,2260212.5707
428,Q70SBS,2023,21.0
429,Q72,2023,1624412.4436
430,Q100,2023,809431.3367
431,Q101,2023,810551.7839
432,Q102,2023,640660.5729
433,Q103,2023,325286.7902
434,Q104,2023,552733.237
435,Q110,2023,1282258.9066
436,Q111,2023,2420076.0495
437,Q112,2023,1065104.4969
438,Q113,2023,730543.336
439,Q114,2023,1338410.9044
440,Local Total,2023,78664392.591
441,Express Routes,2023,
442,BM1,2023,244030.0
443,BM2,2023,205192.0
444,BM3,2023,175696.0
445,BM4,2023,124733.0
446,BM5,2023,169740.0
447,BxM1,2023,363850.0
448,BxM2,2023,190098.0
449,BxM3,2023,201590.0
450,BxM4,2023,126800.0
451,BxM6,2023,185234.0
452,BxM7,2023,658803.0
453,BxM8,2023,423443.0
454,BxM9,2023,474414.0
455,BxM10,2023,418280.0
456,BxM11,2023,301161.0
457,QM2 / QM32,2023,301936.0
458,QM4 / QM44,2023,144140.0
459,QM5 / QM35,2023,388451.0
460,QM6 / QM36,2023,211345.0
461,QM15,2023,368977.0
462,Express Total,2023,7005979.0
463,,2023,
464,,2023,
465,,2023,
466,,2023,
467,Adjustment,2023,546294.7596
468,Grand Total,2023,86216666.3506
469,,2023,
470,,2023,
471,,2023,
472,,2023,
473,"* MTA Bus Routes that were changed between 2018 and 2023; see ""Notes"" for details.",2023,
